tournamentYear,wrestlerClass,wrestlerScore,wrestlerCap,wrestlerRank,wrestlerSeed,wrestlerWeightClass,wrestlerAllAmerican,wrestlerChampion,wrestlerRecord,teamRank,teamPts
2023,Sr,23.5,196,1,1,285,1,1,28-0,10,40.5
2023,Jr,21.5,117,5,2,285,1,0,26-1,32,10
2023,Jr,19,148,2,3,285,1,0,15-2,1,114
2023,Sr,14.5,139,3,4,285,1,0,21-3,2,66.17
2023,So,11.5,129,4,5,285,1,0,20-2,12,39.33
2023,Sr,2,45,12,6,285,0,0,27-4,38,4.5
2023,Fr,2.5,71,10,7,285,0,0,21-3,9,41.83
2023,Sr,2,107,6,8,285,0,0,17-3,7,48.83
2023,Sr,10,93,7,9,285,1,0,22-4,14,34.83
2023,Jr,9,87,8,10,285,1,0,18-3,5,53.67
2023,Sr,5.5,78,9,11,285,1,0,16-8,11,40
2023,Sr,2,10,18,12,285,0,0,27-3,50,1
2023,Jr,1.5,38,13,13,285,0,0,18-11,18,25
2023,Sr,1.5,31,14,14,285,0,0,19-6,29,10.75
2023,Sr,1.5,59,11,16,285,0,0,15-7,8,45.83
2023,Jr,1,26,15,17,285,0,0,26-3,46,1.5
2023,Jr,2,10,19,18,285,0,0,24-10,30,10.75
2023,So,0,10,17,20,285,0,0,19-10,17,26.17
2023,Fr,1.5,5,24,21,285,0,0,16-10,15,33.67
2023,So,0,10,16,22,285,0,0,19-6,6,49.67
2023,Sr,0.5,5,25,23,285,0,0,21-6,39,2.25
2023,Jr,0,5,22,24,285,0,0,16-5,37,4.75
2023,Jr,0.5,10,20,25,285,0,0,20-12,27,12.33
2023,So,0,5,26,26,285,0,0,18-10,56,0.5
2023,So,0.5,5,29,27,285,0,0,21-13,33,8.5
2023,Jr,0,5,32,28,285,0,0,20-12,52,1
2023,Sr,0.5,5,28,29,285,0,0,13-11,47,1.25
2023,Fr,0.5,5,31,30,285,0,0,9-Aug,22,20.5
2023,Fr,0,5,27,31,285,0,0,15-8,28,12
2023,Sr,1,5,30,32,285,0,0,15-14,19,22
2023,Sr,0,5,33,33,285,0,0,16-11,16,27.67
